variant,macro_domain,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V0_generic_single,education,5.00,1.00,1.00,1.00,1.58,3.44,3.08,2.35,1.01,3.62,2.89,2.96,2.12,2.61,2.54,1.61,1.86,3.92,2.82,3.03,2.97,2.54,5.00,5.00,3.75,2.56,3.94,5.00
V4_personalized_fanout,education,4.85,1.18,4.25,4.04,4.43,4.79,4.33,1.12,1.10,3.99,1.57,1.58,3.82,3.83,4.32,1.24,3.78,4.15,4.24,4.17,4.44,3.53,4.94,5.00,4.26,3.92,4.28,4.81
V2_synthesis_only_personalization,education,4.64,1.00,1.78,3.10,2.79,4.78,3.99,1.10,1.11,3.96,1.68,1.65,3.11,3.54,3.68,1.69,2.99,4.22,3.81,3.85,4.33,2.70,4.97,5.00,3.76,2.78,4.31,5.00
V5_mixed_fanout,education,4.88,1.14,4.06,4.47,4.25,4.68,4.27,1.10,1.11,4.03,1.58,1.61,3.69,3.92,4.24,1.49,3.78,4.24,4.24,4.17,4.50,2.99,2.88,5.00,3.96,3.10,4.17,4.93
V3_fanout_only_personalization,education,4.82,1.29,4.29,4.10,4.42,4.74,4.06,1.11,1.07,3.89,1.72,1.74,3.35,3.57,3.86,1.56,3.38,4.19,3.96,3.85,4.28,3.54,4.92,5.00,4.33,3.93,4.19,4.85
V1_generic_fanout,education,4.64,1.00,1.74,3.14,2.68,4.75,3.60,1.14,1.11,3.76,1.76,1.78,2.62,3.01,3.06,2.10,2.38,4.06,3.38,3.42,4.29,2.67,4.97,5.00,3.75,2.69,4.21,5.00
