variant,macro_domain,fanout_faithfulness_to_user_query_mean,fanout_overpersonalization_risk_mean,fanout_persona_field_use_mean,fanout_query_diversity_mean,fanout_query_specificity_mean,fanout_search_realism_mean,final_actionability_without_overclaiming_mean,final_citation_support_mean,final_contradiction_with_evidence_mean,final_domain_safety_mean,final_evidence_usage_quality_mean,final_groundedness_mean,final_intent_satisfaction_mean,final_missing_constraint_awareness_mean,final_non_genericness_mean,final_overpersonalization_mean,final_personalization_target_use_mean,final_safety_mean,final_specificity_mean,final_uncertainty_calibration_mean,final_unsupported_claim_risk_mean,retrieval_constraint_coverage_mean,retrieval_disconfirming_coverage_mean,retrieval_distractor_robustness_mean,retrieval_evidence_relevance_mean,retrieval_result_persona_fit_mean,retrieval_source_quality_mean,retrieval_unsafe_or_overpersonalized_retrieval_risk_mean
V2_synthesis_only_personalization,education,4.79,1.00,2.12,3.36,3.22,4.74,4.25,1.42,1.08,3.97,1.72,1.69,3.36,3.54,3.96,1.65,3.43,4.21,4.12,3.99,4.35,2.78,4.99,5.00,4.03,2.90,4.24,4.99
V3_fanout_only_personalization,education,4.96,1.07,4.51,4.24,4.71,4.88,4.38,1.40,1.03,4.03,1.86,1.79,3.58,3.67,4.17,1.47,3.74,4.25,4.31,4.19,4.22,3.72,4.88,4.99,4.36,4.12,4.38,4.94
V5_mixed_fanout,education,4.94,1.04,4.40,4.75,4.61,4.60,4.61,1.32,1.03,4.17,1.69,1.62,3.90,3.96,4.60,1.28,4.07,4.42,4.58,4.33,4.43,3.03,2.83,5.00,4.00,3.08,4.15,4.96
V4_personalized_fanout,education,4.97,1.03,4.54,4.31,4.79,4.90,4.53,1.32,1.04,4.10,1.68,1.65,3.97,4.08,4.50,1.28,4.07,4.29,4.57,4.35,4.40,3.60,5.00,5.00,4.21,3.97,4.25,4.94
V0_generic_single,education,5.00,1.00,1.00,1.00,1.53,3.51,3.47,2.46,1.06,3.75,2.82,2.79,2.35,2.90,2.86,1.83,2.20,4.00,3.15,3.26,3.06,2.62,5.00,5.00,3.71,2.65,3.94,5.00
V1_generic_fanout,education,4.82,1.00,2.10,3.42,3.18,4.86,3.86,1.46,1.06,3.82,1.88,1.88,2.79,3.10,3.50,1.94,2.64,4.11,3.72,3.47,4.14,2.86,4.94,5.00,3.92,2.89,4.10,4.97
