comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k2_to_k4,final_contradiction_with_evidence,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k2_to_k4,final_domain_safety,72,0.1458,0.0996,0.0000,-0.0417,0.3474,23.61,62.50,13.89
k2_to_k4,final_evidence_usage_quality,72,0.1306,0.0521,0.0000,0.0306,0.2278,19.44,76.39,4.17
k2_to_k4,final_groundedness,72,0.1278,0.0515,0.0000,0.0277,0.2250,19.44,76.39,4.17
k2_to_k4,final_intent_satisfaction,72,0.2986,0.1135,0.0000,0.0694,0.5347,30.56,55.56,13.89
k2_to_k4,final_missing_constraint_awareness,72,0.3472,0.1442,0.0000,0.0691,0.6531,40.28,40.28,19.44
k2_to_k4,final_non_genericness,72,0.2639,0.1203,0.0000,0.0278,0.5000,29.17,59.72,11.11
k2_to_k4,final_overpersonalization,72,-0.1806,0.1015,0.0000,-0.3889,0.0139,6.94,73.61,19.44
k2_to_k4,final_personalization_target_use,72,0.3611,0.1458,0.0000,0.0833,0.6528,37.50,41.67,20.83
k2_to_k4,final_safety,72,0.0972,0.0931,0.0000,-0.0837,0.2917,19.44,65.28,15.28
k2_to_k4,final_specificity,72,0.3333,0.1009,0.0000,0.1389,0.5278,31.94,61.11,6.94
k2_to_k4,final_thoughtfulness,1,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k2_to_k4,final_uncertainty_calibration,72,0.2222,0.1140,0.0000,0.0135,0.4583,36.11,45.83,18.06
k2_to_k4,final_unsupported_claim_risk,72,-0.1486,0.0498,0.0000,-0.2431,-0.0486,2.78,77.78,19.44
k2_to_k4,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,realized_k,72,2.0000,0.0000,2.0000,2.0000,2.0000,100.00,0.00,0.00
k2_to_k4,retrieval_constraint_coverage,72,0.6458,0.1130,0.0000,0.4306,0.8542,38.89,59.72,1.39
k2_to_k4,retrieval_disconfirming_coverage,72,-0.3056,0.1147,0.0000,-0.5417,-0.0969,2.78,83.33,13.89
k2_to_k4,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,retrieval_evidence_relevance,72,0.3125,0.0842,0.0000,0.1458,0.4653,26.39,69.44,4.17
k2_to_k4,retrieval_result_persona_fit,72,0.4861,0.0948,0.0000,0.3056,0.6806,34.72,63.89,1.39
k2_to_k4,retrieval_source_quality,72,0.2986,0.0738,0.0000,0.1528,0.4444,31.94,62.50,5.56
k2_to_k4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0139,0.0139,0.0000,0.0000,0.0556,1.39,98.61,0.00
k2_to_k4,search_latency,72,24.6343,1.0906,29.4686,22.4090,26.7595,100.00,0.00,0.00
k2_to_k4,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,synthesis_latency,72,0.9692,0.2560,0.6136,0.4771,1.4326,66.67,0.00,33.33
k2_to_k4,tavily_calls,72,2.0000,0.0000,2.0000,2.0000,2.0000,100.00,0.00,0.00
k2_to_k4,total_latency,72,25.6035,1.0777,29.0691,23.4195,27.6366,100.00,0.00,0.00
k2_to_k4,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,total_retrieved_context_size,72,12096.4861,218.2832,12426.0000,11630.0368,12495.4257,100.00,0.00,0.00
k2_to_k4,total_synthesis_context_size,72,10580.3472,283.2403,11096.0000,9996.8410,11174.0469,100.00,0.00,0.00
k2_to_k4,unique_domains,72,7.5556,0.2237,8.0000,7.0972,7.9861,100.00,0.00,0.00
k2_to_k4,unique_urls,72,8.7639,0.1829,9.0000,8.4024,9.0972,100.00,0.00,0.00
k4_to_k8,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,duplicate_url_rate,72,0.0100,0.0072,0.0000,-0.0030,0.0268,31.94,31.94,36.11
k4_to_k8,fanout_faithfulness_to_user_query,72,-0.0278,0.0278,0.0000,-0.0833,0.0278,1.39,94.44,4.17
k4_to_k8,fanout_overpersonalization_risk,72,0.0417,0.0461,0.0000,-0.0278,0.1389,2.78,95.83,1.39
k4_to_k8,fanout_persona_field_use,72,0.5069,0.0936,0.0000,0.3264,0.6944,36.11,62.50,1.39
k4_to_k8,fanout_query_diversity,72,0.1944,0.0675,0.0000,0.0694,0.3194,13.89,84.72,1.39
k4_to_k8,fanout_query_specificity,72,0.1111,0.0579,0.0000,0.0000,0.2222,15.28,79.17,5.56
k4_to_k8,fanout_search_realism,72,0.0139,0.0312,0.0000,-0.0417,0.0698,4.17,93.06,2.78
k4_to_k8,final_actionability_without_overclaiming,72,0.2083,0.1082,0.0000,-0.0139,0.4028,30.56,61.11,8.33
k4_to_k8,final_citation_support,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k4_to_k8,final_contradiction_with_evidence,72,0.0139,0.0139,0.0000,0.0000,0.0417,1.39,98.61,0.00
k4_to_k8,final_domain_safety,72,0.0833,0.1115,0.0000,-0.1392,0.2917,20.83,68.06,11.11
k4_to_k8,final_evidence_usage_quality,72,0.0111,0.0314,0.0000,-0.0444,0.0696,4.17,91.67,4.17
k4_to_k8,final_groundedness,72,0.0125,0.0417,0.0000,-0.0653,0.0944,8.33,84.72,6.94
k4_to_k8,final_intent_satisfaction,72,0.3056,0.1077,0.0000,0.0833,0.5278,36.11,55.56,8.33
k4_to_k8,final_missing_constraint_awareness,72,0.2639,0.1412,0.0000,-0.0417,0.5417,33.33,51.39,15.28
k4_to_k8,final_non_genericness,72,0.2917,0.1242,0.0000,0.0552,0.5417,29.17,61.11,9.72
k4_to_k8,final_overpersonalization,72,-0.0556,0.0653,0.0000,-0.1806,0.0698,4.17,86.11,9.72
k4_to_k8,final_personalization_target_use,72,0.3889,0.1364,0.0000,0.1111,0.6528,36.11,52.78,11.11
k4_to_k8,final_safety,72,0.0139,0.1092,0.0000,-0.2222,0.2222,19.44,68.06,12.50
k4_to_k8,final_specificity,72,0.1944,0.1113,0.0000,-0.0417,0.4028,26.39,62.50,11.11
k4_to_k8,final_thoughtfulness,1,-4.0000,0.0000,-4.0000,-4.0000,-4.0000,0.00,0.00,100.00
k4_to_k8,final_uncertainty_calibration,72,0.1111,0.1320,0.0000,-0.1806,0.3611,29.17,55.56,15.28
k4_to_k8,final_unsupported_claim_risk,72,-0.0083,0.0412,0.0000,-0.0972,0.0722,6.94,86.11,6.94
k4_to_k8,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,realized_k,72,4.0000,0.0000,4.0000,4.0000,4.0000,100.00,0.00,0.00
k4_to_k8,retrieval_constraint_coverage,72,0.1250,0.0654,0.0000,0.0000,0.2639,13.89,80.56,5.56
k4_to_k8,retrieval_disconfirming_coverage,72,0.0417,0.0417,0.0000,-0.0417,0.1250,5.56,91.67,2.78
