,V0,V1,V2,V3,V4,V5
Gemma 4 31B-IT,2.12,2.62,3.11,3.35,3.82,3.69
Gemini 3.6 Flash,2.35,2.79,3.36,3.58,3.97,3.9
Gemini 3.1 Pro (prev.),2.21,2.64,3.65,3.4,4.03,4.08
