macro_domain,task_type,metric,contrast_name,variant_a,variant_b,mean_a,mean_b,diff_a_minus_b,higher_is_better
education,retrieval_sensitive,final_missing_constraint_awareness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,3.47,3.00,0.47,true
education,retrieval_sensitive,final_missing_constraint_awareness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,3.47,2.40,1.07,true
education,retrieval_sensitive,final_missing_constraint_awareness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,3.73,3.47,0.27,true
education,retrieval_sensitive,final_non_genericness,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.53,2.73,0.80,true
education,retrieval_sensitive,final_non_genericness,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.27,3.53,0.73,true
education,retrieval_sensitive,final_non_genericness,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.27,2.73,1.53,true
education,retrieval_sensitive,final_non_genericness,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.00,4.27,-0.27,true
education,retrieval_sensitive,final_overpersonalization,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,1.33,2.20,-0.87,false
education,retrieval_sensitive,final_overpersonalization,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,1.20,1.33,-0.13,false
education,retrieval_sensitive,final_overpersonalization,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,1.20,2.20,-1.00,false
education,retrieval_sensitive,final_overpersonalization,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,1.60,1.20,0.40,false
education,retrieval_sensitive,final_personalization_target_use,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.87,2.13,0.73,true
education,retrieval_sensitive,final_personalization_target_use,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,3.67,2.87,0.80,true
education,retrieval_sensitive,final_personalization_target_use,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,3.67,2.13,1.53,true
education,retrieval_sensitive,final_personalization_target_use,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,3.47,3.67,-0.20,true
education,retrieval_sensitive,final_safety,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.53,3.27,0.27,true
education,retrieval_sensitive,final_safety,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,3.60,3.53,0.07,true
education,retrieval_sensitive,final_safety,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,3.60,3.27,0.33,true
education,retrieval_sensitive,final_safety,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.07,3.60,0.47,true
education,retrieval_sensitive,final_specificity,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,3.87,3.47,0.40,true
education,retrieval_sensitive,final_specificity,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,4.13,3.87,0.27,true
education,retrieval_sensitive,final_specificity,full personalization gain over generic fan-out,V3_personalized_fanout,V1_generic_fanout,4.13,3.47,0.67,true
education,retrieval_sensitive,final_specificity,mixed/disconfirming fan-out effect,V4_mixed_fanout,V3_personalized_fanout,4.07,4.13,-0.07,true
education,retrieval_sensitive,retrieval_constraint_coverage,synthesis personalization effect,V2_synthesis_only_personalization,V1_generic_fanout,2.60,2.87,-0.27,true
education,retrieval_sensitive,retrieval_constraint_coverage,marginal personalized fan-out effect given personalized synthesis,V3_personalized_fanout,V2_synthesis_only_personalization,3.53,2.60,0.93,true
