comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k2_to_k4,fanout_overpersonalization_risk,72,-0.1111,0.0544,0.0000,-0.2222,-0.0139,4.17,81.94,13.89
k2_to_k4,fanout_persona_field_use,72,1.0556,0.1026,1.0000,0.8611,1.2500,72.22,26.39,1.39
k2_to_k4,fanout_query_diversity,72,2.0694,0.1107,2.0000,1.8611,2.2917,90.28,9.72,0.00
k2_to_k4,fanout_query_specificity,72,1.1111,0.0939,1.0000,0.9306,1.2917,80.56,18.06,1.39
k2_to_k4,fanout_search_realism,72,0.2500,0.0706,0.0000,0.1111,0.3889,30.56,62.50,6.94
k2_to_k4,final_actionability_without_overclaiming,72,0.1944,0.1021,0.0000,-0.0139,0.3750,29.17,63.89,6.94
k2_to_k4,final_citation_support,72,0.0139,0.0370,0.0000,-0.0556,0.0972,2.78,94.44,2.78
k2_to_k4,final_contradiction_with_evidence,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k2_to_k4,final_domain_safety,72,0.1389,0.0934,0.0000,-0.0556,0.3194,25.00,65.28,9.72
k2_to_k4,final_evidence_usage_quality,72,0.0625,0.0642,0.0000,-0.0556,0.2015,9.72,81.94,8.33
k2_to_k4,final_groundedness,72,-0.0069,0.0631,0.0000,-0.1292,0.1278,8.33,79.17,12.50
k2_to_k4,final_intent_satisfaction,72,0.3194,0.1098,0.0000,0.1111,0.5278,33.33,62.50,4.17
k2_to_k4,final_missing_constraint_awareness,72,0.4444,0.1201,0.0000,0.2083,0.6667,44.44,48.61,6.94
k2_to_k4,final_non_genericness,72,0.4028,0.1164,0.0000,0.1667,0.6389,44.44,50.00,5.56
k2_to_k4,final_overpersonalization,72,-0.0139,0.1243,0.0000,-0.2500,0.2222,11.11,75.00,13.89
k2_to_k4,final_personalization_target_use,72,0.2917,0.1333,0.0000,0.0278,0.5420,37.50,51.39,11.11
k2_to_k4,final_safety,72,0.1111,0.0980,0.0000,-0.0833,0.2920,26.39,59.72,13.89
k2_to_k4,final_specificity,72,0.2778,0.1032,0.0000,0.0694,0.4722,33.33,62.50,4.17
k2_to_k4,final_uncertainty_calibration,72,0.2639,0.1065,0.0000,0.0694,0.4722,37.50,50.00,12.50
k2_to_k4,final_unsupported_claim_risk,72,-0.0181,0.0645,0.0000,-0.1529,0.1098,11.11,79.17,9.72
k2_to_k4,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,realized_k,72,2.0000,0.0000,2.0000,2.0000,2.0000,100.00,0.00,0.00
k2_to_k4,retrieval_constraint_coverage,72,0.6250,0.1161,0.0000,0.4028,0.8611,44.44,50.00,5.56
k2_to_k4,retrieval_disconfirming_coverage,72,-0.1250,0.0947,0.0000,-0.3056,0.0556,1.39,88.89,9.72
k2_to_k4,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,retrieval_evidence_relevance,72,0.1528,0.0582,0.0000,0.0417,0.2642,18.06,77.78,4.17
k2_to_k4,retrieval_result_persona_fit,72,0.5417,0.0988,0.0000,0.3611,0.7500,40.28,58.33,1.39
k2_to_k4,retrieval_source_quality,72,0.4028,0.0921,0.0000,0.2361,0.5972,30.56,66.67,2.78
k2_to_k4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0139,0.0139,0.0000,0.0000,0.0417,1.39,98.61,0.00
k2_to_k4,search_latency,72,3.3905,0.1606,3.0799,3.0801,3.7045,100.00,0.00,0.00
k2_to_k4,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,synthesis_latency,72,0.8814,0.2375,0.8112,0.4268,1.3693,65.28,0.00,34.72
k2_to_k4,tavily_calls,72,2.0000,0.0000,2.0000,2.0000,2.0000,100.00,0.00,0.00
k2_to_k4,total_latency,72,4.2720,0.2865,4.0582,3.7631,4.8192,98.61,0.00,1.39
k2_to_k4,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k2_to_k4,total_retrieved_context_size,72,12504.7222,194.1854,12854.5000,12110.3771,12844.1222,100.00,0.00,0.00
k2_to_k4,total_synthesis_context_size,72,10624.1806,258.1159,10770.0000,10122.2142,11152.0295,100.00,0.00,0.00
k2_to_k4,unique_domains,72,7.4167,0.2063,7.5000,7.0278,7.8056,100.00,0.00,0.00
k2_to_k4,unique_urls,72,8.5694,0.1665,8.5000,8.2639,8.8892,100.00,0.00,0.00
k4_to_k8,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k4_to_k8,duplicate_url_rate,72,0.0149,0.0070,0.0000,0.0003,0.0292,45.83,22.22,31.94
k4_to_k8,fanout_faithfulness_to_user_query,72,0.0139,0.0541,0.0000,-0.0972,0.1111,6.94,87.50,5.56
