[run_batch] 432 runs planned.
[79/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_13
[80/432] done variant=V5_mixed_fanout persona=modbudget_nonstem_switcher query_id=q_12
[81/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_13
[82/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_14
[83/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_14
[84/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_14
[85/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_15
[86/432] done variant=V0_generic_single persona=family_modbudget query_id=q_17
[87/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_15
[88/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_15
[89/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_14
[90/432] done variant=V0_generic_single persona=family_modbudget query_id=q_18
[91/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_14
[92/432] done variant=V1_generic_fanout persona=highbudget_highstem_pro query_id=q_16
[93/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_15
[94/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_15
[95/432] done variant=V2_synthesis_only_personalization persona=highbudget_highstem_pro query_id=q_16
[96/432] done variant=V0_generic_single persona=family_modbudget query_id=q_19
[97/432] done variant=V3_fanout_only_personalization persona=highbudget_highstem_pro query_id=q_16
[98/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_17
[99/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_17
[100/432] done variant=V0_generic_single persona=family_modbudget query_id=q_20
[101/432] done variant=V4_personalized_fanout persona=highbudget_highstem_pro query_id=q_16
[102/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_17
[103/432] done variant=V5_mixed_fanout persona=highbudget_highstem_pro query_id=q_16
[104/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_18
[105/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_19
[106/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_18
[107/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_17
[108/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_17
[109/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_21
[110/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_18
[111/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_19
[112/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_19
[113/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_19
[114/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_18
[115/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_18
[116/432] done variant=V1_generic_fanout persona=family_modbudget query_id=q_20
[117/432] done variant=V3_fanout_only_personalization persona=family_modbudget query_id=q_20
[118/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_19
[119/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_22
[120/432] done variant=V2_synthesis_only_personalization persona=family_modbudget query_id=q_20
[121/432] done variant=V4_personalized_fanout persona=family_modbudget query_id=q_20
[122/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_24
[123/432] done variant=V5_mixed_fanout persona=family_modbudget query_id=q_20
[124/432] done variant=V0_generic_single persona=intl_newgrad query_id=q_23
[125/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_21
[126/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_21
[127/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_21
[128/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_22
[129/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_25
[130/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_22
[131/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_21
[132/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_21
[133/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_22
[134/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_23
[135/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_23
[136/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_22
[137/432] done variant=V1_generic_fanout persona=intl_newgrad query_id=q_24
[138/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_23
[139/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_26
[140/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_23
[141/432] done variant=V3_fanout_only_personalization persona=intl_newgrad query_id=q_22
[142/432] done variant=V0_generic_single persona=tenant_low_income_eviction_risk query_id=q_27
[143/432] done variant=V4_personalized_fanout persona=intl_newgrad query_id=q_24
[144/432] done variant=V5_mixed_fanout persona=intl_newgrad query_id=q_23
[145/432] done variant=V2_synthesis_only_personalization persona=intl_newgrad query_id=q_24
[146/432] done variant=V1_generic_fanout persona=tenant_low_income_eviction_risk query_id=q_25
